away_team_name,home_team_name,start_time,umpire_name
몽키스패너즈,룰루,2025-05-04T09:00:00+09:00,권도훈
법대,로스쿨,2025-05-04T11:30:00+09:00,권도훈
체육교육과,떡볶이아줌마,2025-05-04T14:00:00+09:00,심민수
포톤스B,관악사,2025-05-04T16:30:00+09:00,심민수
재료공학부,농생대,2025-05-04T19:00:00+09:00,오주영
사회대A,정호아카데미,2025-05-05T14:00:00+09:00,허준서
약우,포톤스A,2025-05-05T16:30:00+09:00,김영윤
알파사회대,소이쏘스,2025-05-05T19:00:00+09:00,김영윤
몽키스패너즈,법대,2025-05-06T20:30:00+09:00,고영준
로스쿨,룰루,2025-05-07T20:30:00+09:00,김성민
체육교육과,포톤스B,2025-05-08T20:30:00+09:00,박자민
관악사,떡볶이아줌마,2025-05-09T20:30:00+09:00,김영윤
재료공학부,사회대A,2025-05-10T14:00:00+09:00,금경원
정호아카데미,농생대,2025-05-10T16:30:00+09:00,윤기섭
약우,알파사회대,2025-05-10T19:00:00+09:00,김성민
소이쏘스,포톤스A,2025-05-11T16:30:00+09:00,오주영
로스쿨,몽키스패너즈,2025-05-11T19:00:00+09:00,고영준
룰루,법대,2025-05-12T20:30:00+09:00,윤기섭
관악사,체육교육과,2025-05-13T20:30:00+09:00,윤기섭
떡볶이아줌마,포톤스B,2025-05-14T20:30:00+09:00,권도훈
정호아카데미,재료공학부,2025-05-16T20:30:00+09:00,금경원
농생대,사회대A,2025-05-17T16:30:00+09:00,권재현
소이쏘스,약우,2025-05-17T19:00:00+09:00,금경원
포톤스A,알파사회대,2025-05-18T08:30:00+09:00,권재현